A 201 4590 03/13/2022-15:51
C 323 59100 6 02/01/2022-09:55
C 324 59053 2 02/01/2022-09:55
D 101 0 0 0
D 102 0 0 0
D 103 0 0 0
D 104 0 0 0
D 105 0 0 0
D 106 0 0 0
D 107 0 0 0
D 108 0 0 0
D 109 0 0 0
D 110 0 0 0
D 111 0 0 0
D 112 0 0 0
D 113 0 0 0
D 114 0 0 0
D 115 0 0 0
D 116 0 0 0
D 117 0 0 0
D 118 0 0 0
D 119 0 0 0
D 120 0 0 0
D 121 0 0 0
D 122 0 0 0
D 123 0 0 0
D 124 0 0 0
D 201 0 0 0
D 202 0 0 0
D 203 0 0 0
D 204 0 0 0
D 205 0 0 0
D 206 0 0 0
D 207 0 0 0
D 208 0 0 0
D 209 0 0 0
D 210 0 0 0
D 211 0 0 0
D 212 0 0 0
D 213 0 0 0
D 214 59077 1 02/01/2022-09:55
D 215 0 0 0
D 216 0 0 0
D 217 0 0 0
D 218 0 0 0
D 219 0 0 0
D 220 0 0 0
D 221 0 0 0
D 222 0 0 0
D 223 0 0 0
D 224 0 0 0
D 301 0 0 0
D 302 0 0 0
D 303 0 0 0
D 304 0 0 0
D 305 0 0 0
D 306 0 0 0
D 307 0 0 0
D 308 0 0 0
D 309 0 0 0
D 310 0 0 0
D 311 0 0 0
D 312 0 0 0
D 313 0 0 0
D 314 0 0 0
D 315 0 0 0
D 316 0 0 0
D 317 0 0 0
D 318 0 0 0
D 319 0 0 0
D 320 0 0 0
D 321 0 0 0
D 322 0 0 0
D 323 0 0 0
D 324 0 0 0
E 101 0 0 0
E 102 0 0 0
E 103 0 0 0
E 104 0 0 0
E 105 0 0 0
E 106 0 0 0
E 107 0 0 0
E 108 0 0 0
E 109 0 0 0
E 110 0 0 0
E 111 0 0 0
E 112 0 0 0
E 113 0 0 0
E 114 0 0 0
E 115 0 0 0
E 116 0 0 0
E 117 0 0 0
E 118 0 0 0
E 119 0 0 0
E 120 0 0 0
E 121 0 0 0
E 122 0 0 0
E 123 0 0 0
E 124 0 0 0
E 201 0 0 0
E 202 0 0 0
E 203 0 0 0
E 204 0 0 0
E 205 0 0 0
E 206 0 0 0
E 207 0 0 0
E 208 0 0 0
E 209 0 0 0
E 210 0 0 0
E 211 0 0 0
E 212 0 0 0
E 213 0 0 0
E 214 0 0 0
E 215 0 0 0
E 216 0 0 0
E 217 0 0 0
E 218 0 0 0
E 219 0 0 0
E 220 0 0 0
E 221 0 0 0
E 222 0 0 0
E 223 0 0 0
E 224 59067 1 02/01/2022-11:48
E 301 0 0 0
E 302 0 0 0
E 303 0 0 0
E 304 0 0 0
E 305 0 0 0
E 306 0 0 0
E 307 0 0 0
E 308 0 0 0
E 309 0 0 0
E 310 0 0 0
E 311 0 0 0
E 312 0 0 0
E 313 0 0 0
E 314 0 0 0
E 315 0 0 0
E 316 0 0 0
E 317 0 0 0
E 318 0 0 0
E 319 0 0 0
E 320 0 0 0
E 321 0 0 0
E 322 0 0 0
E 323 0 0 0
E 324 59034 3 02/01/2022-11:29
F 101 0 0 0
F 102 0 0 0
F 103 0 0 0
F 104 0 0 0
F 105 0 0 0
F 106 0 0 0
F 107 0 0 0
F 108 0 0 0
F 109 0 0 0
F 110 0 0 0
F 111 0 0 0
F 112 0 0 0
F 113 0 0 0
F 114 0 0 0
F 115 0 0 0
F 116 0 0 0
F 117 0 0 0
F 118 0 0 0
F 119 0 0 0
F 120 0 0 0
F 121 0 0 0
F 122 0 0 0
F 123 0 0 0
F 124 0 0 0
F 201 0 0 0
F 202 0 0 0
F 203 0 0 0
F 204 0 0 0
F 205 0 0 0
F 206 0 0 0
F 207 0 0 0
F 208 0 0 0
F 209 0 0 0
F 210 0 0 0
F 211 0 0 0
F 212 0 0 0
F 213 0 0 0
F 214 0 0 0
F 215 0 0 0
F 216 0 0 0
F 217 0 0 0
F 218 0 0 0
F 219 0 0 0
F 220 0 0 0
F 221 0 0 0
F 222 0 0 0
F 223 0 0 0
F 224 0 0 0
F 301 0 0 0
F 302 0 0 0
F 303 0 0 0
F 304 0 0 0
F 305 0 0 0
F 306 0 0 0
F 307 0 0 0
F 308 0 0 0
F 309 0 0 0
F 310 0 0 0
F 311 0 0 0
F 312 0 0 0
F 313 0 0 0
F 314 0 0 0
F 315 0 0 0
F 316 0 0 0
F 317 0 0 0
F 318 0 0 0
F 319 0 0 0
F 320 0 0 0
F 321 0 0 0
F 322 0 0 0
F 323 0 0 0
F 324 0 0 0
G 101 0 0 0
G 102 0 0 0
G 103 0 0 0
G 104 0 0 0
G 105 0 0 0
G 106 0 0 0
G 107 0 0 0
G 108 0 0 0
G 109 0 0 0
G 110 0 0 0
G 111 0 0 0
G 112 0 0 0
G 113 0 0 0
G 114 0 0 0
G 115 0 0 0
G 116 0 0 0
G 117 0 0 0
G 118 0 0 0
G 119 0 0 0
G 120 0 0 0
G 121 0 0 0
G 122 0 0 0
G 123 0 0 0
G 124 0 0 0
G 201 0 0 0
G 202 0 0 0
G 203 0 0 0
G 204 0 0 0
G 205 0 0 0
G 206 0 0 0
G 207 0 0 0
G 208 0 0 0
G 209 0 0 0
G 210 0 0 0
G 211 0 0 0
G 212 0 0 0
G 213 0 0 0
G 214 0 0 0
G 215 0 0 0
G 216 0 0 0
G 217 0 0 0
G 218 0 0 0
G 219 0 0 0
G 220 0 0 0
G 221 0 0 0
G 222 0 0 0
G 223 0 0 0
G 224 0 0 0
G 301 0 0 0
G 302 0 0 0
G 303 0 0 0
G 304 0 0 0
G 305 0 0 0
G 306 0 0 0
G 307 0 0 0
G 308 0 0 0
G 309 0 0 0
G 310 0 0 0
G 311 0 0 0
G 312 0 0 0
G 313 0 0 0
G 314 0 0 0
G 315 0 0 0
G 316 0 0 0
G 317 0 0 0
G 318 0 0 0
G 319 0 0 0
G 320 0 0 0
G 321 0 0 0
G 322 0 0 0
G 323 0 0 0
G 324 0 0 0
H 101 0 0 0
H 102 0 0 0
H 103 0 0 0
H 104 0 0 0
H 105 0 0 0
H 106 0 0 0
H 107 0 0 0
H 108 0 0 0
H 201 0 0 0
H 202 0 0 0
H 203 0 0 0
H 204 0 0 0
H 205 0 0 0
H 206 0 0 0
H 207 0 0 0
H 208 0 0 0
H 301 0 0 0
H 302 0 0 0
H 303 0 0 0
H 304 0 0 0
H 305 0 0 0
H 306 0 0 0
H 307 0 0 0
H 308 0 0 0
I 101 0 0 0
I 102 0 0 0
I 103 0 0 0
I 104 0 0 0
I 105 0 0 0
I 106 0 0 0
I 107 0 0 0
I 108 0 0 0
I 201 0 0 0
I 202 0 0 0
I 203 0 0 0
I 204 0 0 0
I 205 0 0 0
I 206 0 0 0
I 207 0 0 0
I 208 0 0 0
I 301 0 0 0
I 302 0 0 0
I 303 0 0 0
I 304 0 0 0
I 305 0 0 0
I 306 0 0 0
I 307 0 0 0
I 308 0 0 0
J 101 0 0 0
J 102 0 0 0
J 103 0 0 0
J 104 0 0 0
J 105 0 0 0
J 106 0 0 0
J 107 0 0 0
J 108 0 0 0
J 201 0 0 0
J 202 0 0 0
J 203 0 0 0
J 204 0 0 0
J 205 0 0 0
J 206 0 0 0
J 207 0 0 0
J 208 0 0 0
J 301 0 0 0
J 302 0 0 0
J 303 0 0 0
J 304 0 0 0
J 305 0 0 0
J 306 0 0 0
J 307 0 0 0
J 308 0 0 0
K 101 0 0 0
K 102 0 0 0
K 103 0 0 0
K 104 0 0 0
K 105 0 0 0
K 106 0 0 0
K 107 0 0 0
K 108 0 0 0
K 201 0 0 0
K 202 0 0 0
K 203 0 0 0
K 204 0 0 0
K 205 0 0 0
K 206 0 0 0
K 207 0 0 0
K 208 0 0 0
K 301 0 0 0
K 302 0 0 0
K 303 0 0 0
K 304 0 0 0
K 305 0 0 0
K 306 0 0 0
K 307 0 0 0
K 308 0 0 0
L 101 0 0 0
L 102 0 0 0
L 103 0 0 0
L 104 0 0 0
L 105 0 0 0
L 106 0 0 0
L 107 0 0 0
L 108 0 0 0
L 201 0 0 0
L 202 0 0 0
L 203 0 0 0
L 204 0 0 0
L 205 0 0 0
L 206 0 0 0
L 207 0 0 0
L 208 0 0 0
L 301 0 0 0
L 302 0 0 0
L 303 0 0 0
L 304 0 0 0
L 305 0 0 0
L 306 0 0 0
L 307 0 0 0
L 308 0 0 0
M 101 0 0 0
M 102 4950 03/13/2022-04:28
M 103 0 0 0
M 104 0 0 0
M 105 0 0 0
M 106 0 0 0
M 107 0 0 0
M 108 0 0 0
M 201 0 0 0
M 202 0 0 0
M 203 0 0 0
M 204 0 0 0
M 205 0 0 0
M 206 0 0 0
M 207 0 0 0
M 208 0 0 0
M 301 0 0 0
M 302 0 0 0
M 303 0 0 0
M 304 0 0 0
M 305 0 0 0
M 306 0 0 0
M 307 0 0 0
M 308 0 0 0
